1с, 6э, 7кв нд
1с, 7э, 7кв нд
2с, 9э, 1кв нд
2с, 9э, 2кв нд
2с, 9э, 3кв нд
2с, 9э, 4кв нд
2с, 9э, 5кв нд
2с, 9э, 6кв нд
2с, 9э, 7кв нд
2с, 9э, 8кв нд
2с, 9э, 9кв нд
2с, 9э, 10кв нд
2с, 9э, 11кв нд
2с, 9э, 12кв нд
2с, 8э, 1кв нд
2с, 8э, 2кв нд
2с, 8э, 3кв нд
2с, 8э, 4кв нд
2с, 8э, 5кв нд
2с, 8э, 6кв нд
2с, 8э, 7кв нд
2с, 8э, 8кв нд
2с, 8э, 9кв нд
2с, 8э, 10кв нд
2с, 8э, 11кв нд
2с, 8э, 12кв нд
2с, 7э, 1кв нд
2с, 7э, 2кв нд
2с, 7э, 3кв нд
2с, 7э, 4кв нд
2с, 7э, 5кв нд
2с, 7э, 6кв нд
2с, 7э, 7кв нд
2с, 7э, 8кв нд
2с, 7э, 9кв нд
2с, 7э, 10кв нд
2с, 7э, 11кв нд
2с, 7э, 12кв нд
2с, 6э, 1кв нд
2с, 6э, 2кв нд
2с, 6э, 3кв нд
2с, 6э, 4кв нд
2с, 6э, 5кв нд
2с, 6э, 6кв нд
2с, 6э, 7кв нд
2с, 6э, 8кв нд
2с, 6э, 9кв нд
2с, 6э, 10кв нд
2с, 6э, 11кв нд
2с, 6э, 12кв нд
2с, 5э, 1кв нд
2с, 5э, 2кв нд
2с, 5э, 3кв нд
2с, 5э, 4кв нд
2с, 5э, 5кв нд
2с, 5э, 6кв нд
2с, 5э, 7кв нд
2с, 5э, 8кв нд
2с, 5э, 9кв нд
2с, 5э, 10кв нд
2с, 5э, 11кв нд
2с, 5э, 12кв нд
2с, 4э, 1кв нд
2с, 4э, 2кв нд
2с, 4э, 3кв нд
2с, 4э, 4кв нд
2с, 4э, 5кв нд
2с, 4э, 6кв нд
2с, 4э, 7кв нд
2с, 4э, 8кв нд
2с, 4э, 9кв нд
2с, 4э, 10кв нд
2с, 4э, 11кв нд
2с, 4э, 12кв нд
2с, 3э, 10кв нд
2с, 3э, 11кв нд
2с, 3э, 12кв нд
2с, 2э, 5кв нд
2с, 2э, 11кв нд
2с, 1э, 1кв нд
2с, 1э, 2кв нд
2с, 1э, 3кв нд
2с, 1э, 4кв нд
2с, 1э, 5кв нд
2с, 1э, 6кв нд
2с, 1э, 7кв нд
2с, 1э, 8кв нд
2с, 1э, 9кв нд
2с, 1э, 10кв нд
3с, 1э, 1кв нд
3с, 1э, 3кв нд
3с, 1э, 4кв нд
3с, 1э, 6кв нд
3с, 1э, 7кв нд
3с, 1э, 8кв нд
3с, 1э, 9кв нд
3с, 1э, 10кв нд
3с, 3э, 2кв нд
3с, 3э, 6кв нд
3с, 3э, 8кв нд
3с, 3э, 10кв нд
3с, 4э, 3кв нд
3с, 4э, 10кв нд
3с, 5э, 1кв нд
3с, 6э, 6кв нд
3с, 7э, 7кв нд
